runID,datetime,algorithm,no_robots,light_generation_chance,formation,time_passed,timestep
0,17-04-2023 14:51:26,SimpleAlgorithm,10,0.001,1,72800,32
1,17-04-2023 14:53:08,SimpleAlgorithm,10,0.001,1,74304,32
2,17-04-2023 14:53:28,SimpleAlgorithm,10,0.001,2,78816,32
3,17-04-2023 14:53:46,SimpleAlgorithm,10,0.001,3,20864,32
4,17-04-2023 14:53:57,SimpleAlgorithm,10,0.001,4,113600,32
5,17-04-2023 14:54:38,SimpleAlgorithm,10,0.001,5,59136,32
6,17-04-2023 14:54:52,SimpleAlgorithm,10,0.001,6,62304,32
7,17-04-2023 14:55:07,SimpleAlgorithm,10,0.001,7,151136,32
8,17-04-2023 14:55:41,SimpleAlgorithm,10,0.005,1,600032,32
9,17-04-2023 14:58:06,SimpleAlgorithm,10,0.005,2,600032,32
10,17-04-2023 15:00:50,SimpleAlgorithm,10,0.005,3,38912,32
11,17-04-2023 15:01:05,SimpleAlgorithm,10,0.005,4,600032,32
12,17-04-2023 15:03:24,SimpleAlgorithm,10,0.005,5,600032,32
13,17-04-2023_15-44-34,CurrentOne,10,0.001,1,76192,32
14,17-04-2023_15-44-49,CurrentOne,10,0.001,2,81248,32
15,17-04-2023_15-45-02,CurrentOne,10,0.001,3,20416,32
16,17-04-2023_15-45-08,CurrentOne,10,0.001,4,120128,32
17,17-04-2023_15-45-26,CurrentOne,10,0.001,5,43264,32
18,17-04-2023_15-45-35,CurrentOne,10,0.001,6,91488,32
19,17-04-2023_15-45-50,CurrentOne,10,0.001,7,154080,32
20,17-04-2023_15-46-14,CurrentOne,10,0.005,1,93088,32
21,17-04-2023_15-47-48,CurrentOne,10,0.001,1,74912,32
22,17-04-2023_15-48-03,CurrentOne,10,0.001,2,86400,32
23,17-04-2023_15-48-19,CurrentOne,10,0.001,3,24672,32
24,17-04-2023_15-48-40,CurrentOne,10,0.001,1,75904,32
25,17-04-2023 15:49:23,SimpleAlgorithm,10,0.001,1,73312,32
26,17-04-2023 15:49:45,SimpleAlgorithm,10,0.001,2,133632,32
27,17-04-2023 15:50:16,SimpleAlgorithm,10,0.001,3,35648,32
28,17-04-2023 15:50:32,SimpleAlgorithm,10,0.001,4,118208,32
29,17-04-2023 15:51:00,SimpleAlgorithm,10,0.001,5,47040,32
30,17-04-2023 15:51:48,SimpleAlgorithm,10,0.001,1,73568,32
31,17-04-2023 15:52:09,SimpleAlgorithm,10,0.001,2,86016,32
32,17-04-2023 15:52:31,SimpleAlgorithm,10,0.001,3,35840,32
33,17-04-2023 15:52:48,SimpleAlgorithm,10,0.001,4,115008,32
34,17-04-2023_16-13-58,SimpleAlgorithm,10,0.001,1,74016,32
35,17-04-2023_16-14-07,SimpleAlgorithm,10,0.001,2,90464,32
36,17-04-2023_16-14-15,SimpleAlgorithm,10,0.001,3,38816,32
37,17-04-2023_16-14-20,SimpleAlgorithm,10,0.001,4,121632,32
38,17-04-2023_16-14-31,SimpleAlgorithm,10,0.001,5,73472,32
39,17-04-2023_16-14-39,SimpleAlgorithm,10,0.001,6,101376,32
40,17-04-2023_16-14-48,SimpleAlgorithm,10,0.001,7,120608,32
41,17-04-2023_16-14-59,SimpleAlgorithm,10,0.005,1,113440,32
42,17-04-2023_16-15-12,SimpleAlgorithm,10,0.005,2,600032,32
43,17-04-2023_16-16-35,SimpleAlgorithm,10,0.005,3,50368,32
44,17-04-2023_16-16-41,SimpleAlgorithm,10,0.005,4,600032,32
45,17-04-2023_16-18-02,SimpleAlgorithm,10,0.005,5,94208,32
46,17-04-2023_16-18-11,SimpleAlgorithm,10,0.005,6,101984,32
47,17-04-2023_16-18-22,SimpleAlgorithm,10,0.005,7,600032,32
48,17-04-2023_16-19-49,SimpleAlgorithm,10,0.01,1,600032,32
49,17-04-2023_16-22-40,SimpleAlgorithm,10,0.01,2,600032,32
50,17-04-2023_16-24-08,SimpleAlgorithm,10,0.01,3,600032,32
51,17-04-2023_16-25-43,SimpleAlgorithm,10,0.01,4,600032,32
52,17-04-2023_16-27-16,SimpleAlgorithm,10,0.01,5,600032,32
53,17-04-2023_16-29-01,SimpleAlgorithm,10,0.01,6,600032,32
54,17-04-2023_16-30-28,SimpleAlgorithm,10,0.01,7,600032,32
55,17-04-2023_17-16-53,CurrentOne,10,0.001,1,74560,32
56,17-04-2023_17-17-07,CurrentOne,10,0.001,2,96576,32
57,17-04-2023_17-17-24,CurrentOne,10,0.001,3,23008,32
58,17-04-2023_17-17-31,CurrentOne,10,0.001,4,114240,32
59,17-04-2023_17-17-48,CurrentOne,10,0.001,5,58944,32
60,17-04-2023_17-18-00,CurrentOne,10,0.001,6,105408,32
61,17-04-2023_17-18-17,CurrentOne,10,0.001,7,150944,32
62,17-04-2023_17-18-41,CurrentOne,10,0.005,1,84992,32
63,17-04-2023_17-19-02,CurrentOne,10,0.005,2,600032,32
64,17-04-2023_17-21-21,CurrentOne,10,0.005,3,104128,32
65,17-04-2023_17-21-42,CurrentOne,10,0.005,4,600032,32
66,17-04-2023_17-23-53,CurrentOne,10,0.005,5,87904,32
67,17-04-2023_17-24-10,CurrentOne,10,0.005,6,600032,32
68,17-04-2023_17-26-19,CurrentOne,10,0.005,7,432032,32
69,17-04-2023_17-27-56,CurrentOne,10,0.01,1,600032,32
70,17-04-2023_17-30-16,CurrentOne,10,0.01,2,600032,32
71,17-04-2023_17-32-34,CurrentOne,10,0.01,3,23808,32
72,17-04-2023_17-32-42,CurrentOne,10,0.01,4,600032,32
73,17-04-2023_17-35-05,CurrentOne,10,0.01,5,600032,32
74,17-04-2023_17-37-27,CurrentOne,10,0.01,6,600032,32
75,17-04-2023_17-39-48,CurrentOne,10,0.01,7,600032,32
76,28-04-2023_11-06-33,CurrentOne,10,0.01,7,600032,32
77,28-04-2023_11-19-07,CurrentOne,10,0.01,7,600032,32
78,28-04-2023_11-39-15,CurrentOne,10,0.01,7,600032,32
79,28-04-2023_13-01-24,CurrentOne,4,0.01,7,600032,32
80,01-05-2023_10-50-52,SimpleAlgorithm,10,0.001,1,73632,32
81,01-05-2023_10-51-07,SimpleAlgorithm,10,0.001,2,106688,32
82,01-05-2023_10-51-26,SimpleAlgorithm,10,0.001,3,63744,32
83,01-05-2023_10-51-40,SimpleAlgorithm,10,0.001,4,120704,32
84,01-05-2023_10-52-04,SimpleAlgorithm,10,0.001,5,51808,32
85,01-05-2023_10-52-15,SimpleAlgorithm,10,0.001,6,98944,32
86,01-05-2023_10-52-31,SimpleAlgorithm,10,0.001,7,98912,32
87,01-05-2023_10-52-47,SimpleAlgorithm,10,0.005,1,600032,32
88,01-05-2023_10-55-59,SimpleAlgorithm,10,0.005,2,600032,32
89,01-05-2023_10-58-52,SimpleAlgorithm,10,0.005,3,19648,32
90,01-05-2023_10-58-57,SimpleAlgorithm,10,0.005,4,143520,32
91,01-05-2023_10-59-31,SimpleAlgorithm,10,0.005,5,600032,32
92,01-05-2023_11-01-57,SimpleAlgorithm,10,0.005,6,600032,32
93,01-05-2023_11-05-19,SimpleAlgorithm,10,0.005,7,600032,32
94,01-05-2023_11-08-24,SimpleAlgorithm,10,0.01,1,600032,32
95,01-05-2023_11-10-57,SimpleAlgorithm,10,0.01,2,600032,32
96,01-05-2023_11-17-49,SimpleAlgorithm,10,0.01,3,600032,32
97,01-05-2023_11-21-22,SimpleAlgorithm,10,0.01,4,600032,32
98,01-05-2023_11-24-38,SimpleAlgorithm,10,0.01,5,600032,32
99,01-05-2023_11-27-42,SimpleAlgorithm,10,0.01,6,600032,32
100,01-05-2023_11-30-42,SimpleAlgorithm,10,0.01,7,600032,32
101,01-05-2023_11-33-42,SimpleAlgorithm,10,0.001,1,72576,32
102,01-05-2023_11-33-55,SimpleAlgorithm,10,0.001,2,114656,32
103,01-05-2023_11-34-20,SimpleAlgorithm,10,0.001,3,29056,32
104,01-05-2023_11-34-28,SimpleAlgorithm,10,0.001,4,113760,32
105,01-05-2023_11-34-49,SimpleAlgorithm,10,0.001,5,44576,32
106,01-05-2023_11-34-59,SimpleAlgorithm,10,0.001,6,55296,32
107,01-05-2023_11-35-10,SimpleAlgorithm,10,0.001,7,163968,32
108,01-05-2023_11-35-38,SimpleAlgorithm,10,0.005,1,600032,32
109,01-05-2023_11-38-03,SimpleAlgorithm,10,0.005,2,600032,32
110,01-05-2023_11-40-32,SimpleAlgorithm,10,0.005,3,65312,32
111,01-05-2023_11-40-47,SimpleAlgorithm,10,0.005,4,234112,32
112,01-05-2023_11-41-48,SimpleAlgorithm,10,0.005,5,600032,32
113,01-05-2023_11-44-58,SimpleAlgorithm,10,0.005,6,108768,32
114,01-05-2023_11-45-11,SimpleAlgorithm,10,0.005,7,600032,32
115,01-05-2023_11-46-49,SimpleAlgorithm,10,0.01,1,600032,32
116,01-05-2023_11-48-29,SimpleAlgorithm,10,0.01,2,600032,32
117,01-05-2023_11-50-07,SimpleAlgorithm,10,0.01,3,600032,32
118,01-05-2023_11-52-17,SimpleAlgorithm,10,0.01,4,600032,32
119,01-05-2023_11-53-47,SimpleAlgorithm,10,0.01,5,600032,32
120,01-05-2023_11-55-23,SimpleAlgorithm,10,0.01,6,600032,32
121,01-05-2023_11-57-28,SimpleAlgorithm,10,0.01,7,600032,32
122,01-05-2023_11-58-59,SimpleAlgorithm,10,0.001,1,70304,32
123,01-05-2023_11-59-07,SimpleAlgorithm,10,0.001,2,141216,32
124,01-05-2023_11-59-23,SimpleAlgorithm,10,0.001,3,59936,32
125,01-05-2023_11-59-30,SimpleAlgorithm,10,0.001,4,113984,32
126,01-05-2023_11-59-43,SimpleAlgorithm,10,0.001,5,48256,32
127,01-05-2023_11-59-49,SimpleAlgorithm,10,0.001,6,104768,32
128,01-05-2023_12-24-47,SimpleAlgorithm,10,0.001,7,107776,32
129,01-05-2023_12-24-58,SimpleAlgorithm,10,0.005,1,90368,32
130,01-05-2023_12-25-11,SimpleAlgorithm,10,0.005,2,600032,32
131,01-05-2023_12-26-40,SimpleAlgorithm,10,0.005,3,600032,32
132,01-05-2023_12-28-29,SimpleAlgorithm,10,0.005,4,600032,32
133,01-05-2023_12-30-14,SimpleAlgorithm,10,0.005,5,83552,32
134,01-05-2023_12-30-25,SimpleAlgorithm,10,0.005,6,600032,32
135,01-05-2023_12-31-51,SimpleAlgorithm,10,0.005,7,600032,32
136,01-05-2023_12-33-30,SimpleAlgorithm,10,0.01,1,600032,32
137,01-05-2023_12-35-17,SimpleAlgorithm,10,0.01,2,600032,32
138,01-05-2023_12-37-03,SimpleAlgorithm,10,0.01,3,600032,32
139,01-05-2023_12-39-04,SimpleAlgorithm,10,0.01,4,600032,32
140,01-05-2023_12-40-48,SimpleAlgorithm,10,0.01,5,600032,32
141,01-05-2023_12-42-32,SimpleAlgorithm,10,0.01,6,600032,32
142,05-05-2023_11-06-52,CurrentOne,12,0.01,7,600032,32
143,05-05-2023_11-52-14,CurrentOne,12,0.01,7,600032,32
144,05-05-2023_12-48-58,CurrentOne,12,0.001,7,57792,32
145,05-05-2023_12-50-48,CurrentOne,12,0.005,7,149024,32
146,08-05-2023_10-50-10,CurrentOne,12,0.005,5,111904,32
